No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,Cocok,Image
56,Crystallure Supreme Revitalizing Oil Serum,Wardah,Kulit Kering,"Kusam, Kering, Tanda penuaan","Gold Peptide Crystals, Youth Glow Active, 7 Botanical Oils",1,0,1,0,1,0,0,1,1,YES,C:\project\static\Images\Serum\Wardah Crystallure Superme Revitalizing Oil Serum.png
57,Crystallure Supreme Revitalizing Oil Serum,Wardah,Kulit Kombinasi,"Kusam, Kering, Tanda penuaan","Gold Peptide Crystals, Youth Glow Active, 7 Botanical Oils",1,0,1,0,1,0,0,1,1,YES,C:\project\static\Images\Serum\Wardah Crystallure Superme Revitalizing Oil Serum.png
58,Crystallure Supreme Revitalizing Oil Serum,Wardah,Kulit Berminyak,"Kusam, Kering, Tanda penuaan","Gold Peptide Crystals, Youth Glow Active, 7 Botanical Oils",1,0,1,0,1,0,0,1,1,NO,C:\project\static\Images\Serum\Wardah Crystallure Superme Revitalizing Oil Serum.png
59,Crystallure Supreme Revitalizing Oil Serum,Wardah,Kulit Berjerawat,"Kusam, Kering, Tanda penuaan","Gold Peptide Crystals, Youth Glow Active, 7 Botanical Oils",1,0,1,0,1,0,0,1,1,NO,C:\project\static\Images\Serum\Wardah Crystallure Superme Revitalizing Oil Serum.png
60,Crystallure Supreme Revitalizing Oil Serum,Wardah,Kulit Sensitif,"Kusam, Kering, Tanda penuaan","Gold Peptide Crystals, Youth Glow Active, 7 Botanical Oils",1,0,1,0,1,0,0,1,1,NO,C:\project\static\Images\Serum\Wardah Crystallure Superme Revitalizing Oil Serum.png
61,Glo Rad+ High-Res Bright Glow Water-Sphere Serum,Emina,Kulit Normal,"Kusam, Noda hitam","RetinArt, TXArbutin Complex, Drone Ferulic Acid Tech™",1,1,1,1,1,1,0,0,1,YES,C:\project\static\Images\Serum\Emina Glo Rad+ High-Res Bright Glow Water-Sphere Serum.png
62,Glo Rad+ High-Res Bright Glow Water-Sphere Serum,Emina,Kulit Kering,"Kusam, Noda hitam","RetinArt, TXArbutin Complex, Drone Ferulic Acid Tech™",1,1,1,1,1,1,0,0,1,YES,C:\project\static\Images\Serum\Emina Glo Rad+ High-Res Bright Glow Water-Sphere Serum.png
63,Glo Rad+ High-Res Bright Glow Water-Sphere Serum,Emina,Kulit Kombinasi,"Kusam, Noda hitam","RetinArt, TXArbutin Complex, Drone Ferulic Acid Tech™",1,1,1,1,1,1,0,0,1,YES,C:\project\static\Images\Serum\Emina Glo Rad+ High-Res Bright Glow Water-Sphere Serum.png
64,Glo Rad+ High-Res Bright Glow Water-Sphere Serum,Emina,Kulit Berminyak,"Kusam, Noda hitam","RetinArt, TXArbutin Complex, Drone Ferulic Acid Tech™",1,1,1,1,1,1,0,0,1,YES,C:\project\static\Images\Serum\Emina Glo Rad+ High-Res Bright Glow Water-Sphere Serum.png
65,Glo Rad+ High-Res Bright Glow Water-Sphere Serum,Emina,Kulit Berjerawat,"Kusam, Noda hitam","RetinArt, TXArbutin Complex, Drone Ferulic Acid Tech™",1,1,1,1,1,1,0,0,1,NO,C:\project\static\Images\Serum\Emina Glo Rad+ High-Res Bright Glow Water-Sphere Serum.png
66,Glo Rad+ High-Res Bright Glow Water-Sphere Serum,Emina,Kulit Sensitif,"Kusam, Noda hitam","RetinArt, TXArbutin Complex, Drone Ferulic Acid Tech™",1,1,1,1,1,1,0,0,1,YES,C:\project\static\Images\Serum\Emina Glo Rad+ High-Res Bright Glow Water-Sphere Serum.png
67,Ms. Pimple Serum Acne + Oil Control,Emina,Kulit Normal,"Jerawat, Minyak berlebih, Tekstur kulit kasar","Salicylic Acid, Niacinamide",1,1,1,1,1,0,1,1,0,YES,C:\project\static\Images\Serum\Emina Ms. Pimple Serum Acne + Oil Control.png
68,Ms. Pimple Serum Acne + Oil Control,Emina,Kulit Kering,"Jerawat, Minyak berlebih, Tekstur kulit kasar","Salicylic Acid, Niacinamide",1,1,1,1,1,0,1,1,0,YES,C:\project\static\Images\Serum\Emina Ms. Pimple Serum Acne + Oil Control.png
69,Ms. Pimple Serum Acne + Oil Control,Emina,Kulit Kombinasi,"Jerawat, Minyak berlebih, Tekstur kulit kasar","Salicylic Acid, Niacinamide",1,1,1,1,1,0,1,1,0,YES,C:\project\static\Images\Serum\Emina Ms. Pimple Serum Acne + Oil Control.png
70,Ms. Pimple Serum Acne + Oil Control,Emina,Kulit Berminyak,"Jerawat, Minyak berlebih, Tekstur kulit kasar","Salicylic Acid, Niacinamide",1,1,1,1,1,0,1,1,0,YES,C:\project\static\Images\Serum\Emina Ms. Pimple Serum Acne + Oil Control.png
71,Ms. Pimple Serum Acne + Oil Control,Emina,Kulit Berjerawat,"Jerawat, Minyak berlebih, Tekstur kulit kasar","Salicylic Acid, Niacinamide",1,1,1,1,1,0,1,1,0,YES,C:\project\static\Images\Serum\Emina Ms. Pimple Serum Acne + Oil Control.png
72,Ms. Pimple Serum Acne + Oil Control,Emina,Kulit Sensitif,"Jerawat, Minyak berlebih, Tekstur kulit kasar","Salicylic Acid, Niacinamide",1,1,1,1,1,0,1,1,0,YES,C:\project\static\Images\Serum\Emina Ms. Pimple Serum Acne + Oil Control.png
73,Bright Stuff Face Serum,Emina,Kulit Normal,"Kusam, Noda hitam","Ekstrak Summer Plum, Concentrated Niacinamide",1,1,1,1,1,1,0,0,0,YES,C:\project\static\Images\Serum\Emina Bright Stuff Face Serum.png
74,Bright Stuff Face Serum,Emina,Kulit Kering,"Kusam, Noda hitam","Ekstrak Summer Plum, Concentrated Niacinamide",1,1,1,1,1,1,0,0,0,YES,C:\project\static\Images\Serum\Emina Bright Stuff Face Serum.png
75,Bright Stuff Face Serum,Emina,Kulit Kombinasi,"Kusam, Noda hitam","Ekstrak Summer Plum, Concentrated Niacinamide",1,1,1,1,1,1,0,0,0,YES,C:\project\static\Images\Serum\Emina Bright Stuff Face Serum.png
