No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,Cocok,Image
68,YSB Toner Ceramide + Mugwort + Cica,Avoskin,Kulit Kering,"Dehidrasi, Kemerahan, Barrier Lemah","Ceramide LC S-20, Mugwort, Cica, PGA, Squalane",1,1,1,0,1,0,0,1,0,YES,C:\project\static\Images\Toner\Avoskin YOUR SKIN BAE Toner Ceramide + Mugwort + Cica.png
69,YSB Toner Ceramide + Mugwort + Cica,Avoskin,Kulit Kombinasi,"Dehidrasi, Kemerahan, Barrier Lemah","Ceramide LC S-20, Mugwort, Cica, PGA, Squalane",1,1,1,0,1,0,0,1,0,YES,C:\project\static\Images\Toner\Avoskin YOUR SKIN BAE Toner Ceramide + Mugwort + Cica.png
70,YSB Toner Ceramide + Mugwort + Cica,Avoskin,Kulit Berminyak,"Dehidrasi, Kemerahan, Barrier Lemah","Ceramide LC S-20, Mugwort, Cica, PGA, Squalane",1,1,1,0,1,0,0,1,0,NO,C:\project\static\Images\Toner\Avoskin YOUR SKIN BAE Toner Ceramide + Mugwort + Cica.png
71,YSB Toner Ceramide + Mugwort + Cica,Avoskin,Kulit Berjerawat,"Dehidrasi, Kemerahan, Barrier Lemah","Ceramide LC S-20, Mugwort, Cica, PGA, Squalane",1,1,1,0,1,0,1,1,0,YES,C:\project\static\Images\Toner\Avoskin YOUR SKIN BAE Toner Ceramide + Mugwort + Cica.png
72,YSB Toner Ceramide + Mugwort + Cica,Avoskin,Kulit Sensitif,"Dehidrasi, Kemerahan, Barrier Lemah","Ceramide LC S-20, Mugwort, Cica, PGA, Squalane",1,1,1,0,1,0,1,1,0,YES,C:\project\static\Images\Toner\Avoskin YOUR SKIN BAE Toner Ceramide + Mugwort + Cica.png
73,YSB Toner Vit C + Niacinamide + Carrot,Avoskin,Kulit Normal,"Kusam, Flek Ringan, Warna kulit tidak rata","Vit C 2%, Niacinamide 2%, Carrot, Raspberry",1,1,1,1,1,1,1,0,0,YES,C:\project\static\Images\Toner\Avoskin YSB Toner Vitamin C + Niacinamide + Carrot Extract + Raspberry.png
74,YSB Toner Vit C + Niacinamide + Carrot,Avoskin,Kulit Kering,"Kusam, Flek Ringan, Warna kulit tidak rata","Vit C 2%, Niacinamide 2%, Carrot, Raspberry",1,1,1,1,1,1,1,0,0,YES,C:\project\static\Images\Toner\Avoskin YSB Toner Vitamin C + Niacinamide + Carrot Extract + Raspberry.png
75,YSB Toner Vit C + Niacinamide + Carrot,Avoskin,Kulit Kombinasi,"Kusam, Flek Ringan, Warna kulit tidak rata","Vit C 2%, Niacinamide 2%, Carrot, Raspberry",1,1,1,1,1,1,1,0,0,YES,C:\project\static\Images\Toner\Avoskin YSB Toner Vitamin C + Niacinamide + Carrot Extract + Raspberry.png
76,YSB Toner Vit C + Niacinamide + Carrot,Avoskin,Kulit Berminyak,"Kusam, Flek Ringan, Warna kulit tidak rata","Vit C 2%, Niacinamide 2%, Carrot, Raspberry",1,1,1,1,1,1,1,0,0,YES,C:\project\static\Images\Toner\Avoskin YSB Toner Vitamin C + Niacinamide + Carrot Extract + Raspberry.png
77,YSB Toner Vit C + Niacinamide + Carrot,Avoskin,Kulit Berjerawat,"Kusam, Flek Ringan, Warna kulit tidak rata","Vit C 2%, Niacinamide 2%, Carrot, Raspberry",1,1,1,1,1,1,1,0,0,YES,C:\project\static\Images\Toner\Avoskin YSB Toner Vitamin C + Niacinamide + Carrot Extract + Raspberry.png
78,YSB Toner Vit C + Niacinamide + Carrot,Avoskin,Kulit Sensitif,"Kusam, Flek Ringan, Warna kulit tidak rata","Vit C 2%, Niacinamide 2%, Carrot, Raspberry",1,1,1,1,1,1,1,0,0,YES,C:\project\static\Images\Toner\Avoskin YSB Toner Vitamin C + Niacinamide + Carrot Extract + Raspberry.png
79,YSB Toner Marine Collagen + Hyacross + Galactomyces,Avoskin,Kulit Normal,"Dehidrasi, Kulit Kering, Elastisitas Berkurang","Marine Collagen 5%, Hyacross 2%, Galactomyces",1,1,1,0,1,0,0,0,1,YES,C:\project\static\Images\Toner\Avoskin YSB Toner Marine Collagen + Hyacross + Galactomyces.png
80,YSB Toner Marine Collagen + Hyacross + Galactomyces,Avoskin,Kulit Kering,"Dehidrasi, Kulit Kering, Elastisitas Berkurang","Marine Collagen 5%, Hyacross 2%, Galactomyces",1,1,1,0,1,0,0,0,1,YES,C:\project\static\Images\Toner\Avoskin YSB Toner Marine Collagen + Hyacross + Galactomyces.png
81,YSB Toner Marine Collagen + Hyacross + Galactomyces,Avoskin,Kulit Kombinasi,"Dehidrasi, Kulit Kering, Elastisitas Berkurang","Marine Collagen 5%, Hyacross 2%, Galactomyces",1,1,1,0,1,0,0,0,1,YES,C:\project\static\Images\Toner\Avoskin YSB Toner Marine Collagen + Hyacross + Galactomyces.png
82,YSB Toner Marine Collagen + Hyacross + Galactomyces,Avoskin,Kulit Berminyak,"Dehidrasi, Kulit Kering, Elastisitas Berkurang","Marine Collagen 5%, Hyacross 2%, Galactomyces",1,1,1,0,1,0,0,0,1,NO,C:\project\static\Images\Toner\Avoskin YSB Toner Marine Collagen + Hyacross + Galactomyces.png
83,YSB Toner Marine Collagen + Hyacross + Galactomyces,Avoskin,Kulit Berjerawat,"Dehidrasi, Kulit Kering, Elastisitas Berkurang","Marine Collagen 5%, Hyacross 2%, Galactomyces",1,1,1,0,1,0,0,0,1,NO,C:\project\static\Images\Toner\Avoskin YSB Toner Marine Collagen + Hyacross + Galactomyces.png
84,YSB Toner Marine Collagen + Hyacross + Galactomyces,Avoskin,Kulit Sensitif,"Dehidrasi, Kulit Kering, Elastisitas Berkurang","Marine Collagen 5%, Hyacross 2%, Galactomyces",1,1,1,0,1,0,0,0,1,YES,C:\project\static\Images\Toner\Avoskin YSB Toner Marine Collagen + Hyacross + Galactomyces.png
85,YSB Toner Salicylic Acid + Zinc + Tea Tree,Avoskin,Kulit Normal,"Acne, Komedo, Pori Besar, Minyak Berlebih","Salicylic Acid 1%, Zinc, Tea Tree",1,1,1,1,0,0,1,0,0,YES,C:\project\static\Images\Toner\Avoskin YSB Toner Salicylic Acid + Zinc + Tea Tree Water.png
86,YSB Toner Salicylic Acid + Zinc + Tea Tree,Avoskin,Kulit Kering,"Acne, Komedo, Pori Besar, Minyak Berlebih","Salicylic Acid 1%, Zinc, Tea Tree",1,1,1,1,0,0,1,0,0,NO,C:\project\static\Images\Toner\Avoskin YSB Toner Salicylic Acid + Zinc + Tea Tree Water.png
87,YSB Toner Salicylic Acid + Zinc + Tea Tree,Avoskin,Kulit Kombinasi,"Acne, Komedo, Pori Besar, Minyak Berlebih","Salicylic Acid 1%, Zinc, Tea Tree",1,1,1,1,0,0,1,0,0,YES,C:\project\static\Images\Toner\Avoskin YSB Toner Salicylic Acid + Zinc + Tea Tree Water.png
88,YSB Toner Salicylic Acid + Zinc + Tea Tree,Avoskin,Kulit Berminyak,"Acne, Komedo, Pori Besar, Minyak Berlebih","Salicylic Acid 1%, Zinc, Tea Tree",1,1,1,1,0,0,1,0,0,YES,C:\project\static\Images\Toner\Avoskin YSB Toner Salicylic Acid + Zinc + Tea Tree Water.png
89,YSB Toner Salicylic Acid + Zinc + Tea Tree,Avoskin,Kulit Berjerawat,"Acne, Komedo, Pori Besar, Minyak Berlebih","Salicylic Acid 1%, Zinc, Tea Tree",1,1,1,1,0,0,1,0,0,YES,C:\project\static\Images\Toner\Avoskin YSB Toner Salicylic Acid + Zinc + Tea Tree Water.png
90,YSB Toner Salicylic Acid + Zinc + Tea Tree,Avoskin,Kulit Sensitif,"Acne, Komedo, Pori Besar, Minyak Berlebih","Salicylic Acid 1%, Zinc, Tea Tree",1,1,1,1,0,0,1,0,0,YES,C:\project\static\Images\Toner\Avoskin YSB Toner Salicylic Acid + Zinc + Tea Tree Water.png
