No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,Cocok,Image
62,Renew You Facial Wash,Wardah,Kulit Kering,"Penuaan dini, Garis halus, Kusam, Kulit kering","AHA, NMF Amino, Ceramide, Panthenol",1,0,1,0,1,1,0,1,1,YES,C:\project\static\Images\Facial Wash\Wardah Renew You Facial Wash.png
63,Renew You Facial Wash,Wardah,Kulit Sensitif,"Penuaan dini, Garis halus, Kusam, Kulit kering","AHA, NMF Amino, Ceramide, Panthenol",1,0,1,0,1,1,0,1,1,NO,C:\project\static\Images\Facial Wash\Wardah Renew You Facial Wash.png
64,Renew You Facial Wash,Wardah,Kulit Kombinasi,"Penuaan dini, Garis halus, Kusam, Kulit kering","AHA, NMF Amino, Ceramide, Panthenol",1,0,1,0,1,1,0,1,1,YES,C:\project\static\Images\Facial Wash\Wardah Renew You Facial Wash.png
65,Renew You Facial Wash,Wardah,Kulit Berminyak,"Penuaan dini, Garis halus, Kusam, Kulit kering","AHA, NMF Amino, Ceramide, Panthenol",1,0,1,0,1,1,0,1,1,NO,C:\project\static\Images\Facial Wash\Wardah Renew You Facial Wash.png
66,Renew You Facial Wash,Wardah,Kulit Berjerawat,"Penuaan dini, Garis halus, Kusam, Kulit kering","AHA, NMF Amino, Ceramide, Panthenol",1,0,1,0,1,1,0,1,1,NO,C:\project\static\Images\Facial Wash\Wardah Renew You Facial Wash.png
67,Bright Stuff Prebiotic Tranexamic Acid Brightening Facial Cleanser,Emina,Kulit Normal,"Kusam, Jerawat, Beruntusan, Pori-pori tersumbat, Kulit dehidrasi atau kering","Prebiotic, Tranexamic Acid, Aquaxyl, Smart Micro-foam Complex",1,0,1,1,1,1,1,1,0,YES,C:\project\static\Images\Facial Wash\Emina Bright Stuff Prebiotic Tranexamic Acid Brightening Facial Cleanser.png
68,Bright Stuff Prebiotic Tranexamic Acid Brightening Facial Cleanser,Emina,Kulit Kering,"Kusam, Jerawat, Beruntusan, Pori-pori tersumbat, Kulit dehidrasi atau kering","Prebiotic, Tranexamic Acid, Aquaxyl, Smart Micro-foam Complex",1,0,1,1,1,1,1,1,0,YES,C:\project\static\Images\Facial Wash\Emina Bright Stuff Prebiotic Tranexamic Acid Brightening Facial Cleanser.png
69,Bright Stuff Prebiotic Tranexamic Acid Brightening Facial Cleanser,Emina,Kulit Kombinasi,"Kusam, Jerawat, Beruntusan, Pori-pori tersumbat, Kulit dehidrasi atau kering","Prebiotic, Tranexamic Acid, Aquaxyl, Smart Micro-foam Complex",1,0,1,1,1,1,1,1,0,YES,C:\project\static\Images\Facial Wash\Emina Bright Stuff Prebiotic Tranexamic Acid Brightening Facial Cleanser.png
70,Bright Stuff Prebiotic Tranexamic Acid Brightening Facial Cleanser,Emina,Kulit Berminyak,"Kusam, Jerawat, Beruntusan, Pori-pori tersumbat, Kulit dehidrasi atau kering","Prebiotic, Tranexamic Acid, Aquaxyl, Smart Micro-foam Complex",1,0,1,1,1,1,1,1,0,YES,C:\project\static\Images\Facial Wash\Emina Bright Stuff Prebiotic Tranexamic Acid Brightening Facial Cleanser.png
71,Bright Stuff Prebiotic Tranexamic Acid Brightening Facial Cleanser,Emina,Kulit Sensitif,"Kusam, Jerawat, Beruntusan, Pori-pori tersumbat, Kulit dehidrasi atau kering","Prebiotic, Tranexamic Acid, Aquaxyl, Smart Micro-foam Complex",1,0,1,1,1,1,1,1,0,NO,C:\project\static\Images\Facial Wash\Emina Bright Stuff Prebiotic Tranexamic Acid Brightening Facial Cleanser.png
