No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,UV Protection,Cocok,Image
40,Renew You Day Cream,Wardah,Kulit Kombinasi,"Penuaan, Kusam, Keriput","Advance RecoverAge System, SPF 30 PA+++",1,0,1,0,1,1,0,1,1,YES,YES,C:\project\static\Images\Moisturizer\Wardah Renew You Day Cream.png
41,Renew You Day Cream,Wardah,Kulit Sensitif,"Penuaan, Kusam, Keriput","Advance RecoverAge System, SPF 30 PA+++",1,0,1,0,1,1,0,1,1,YES,NO,C:\project\static\Images\Moisturizer\Wardah Renew You Day Cream.png
42,Renew You Day Cream,Wardah,Kulit Berjerawat,"Penuaan, Kusam, Keriput","Advance RecoverAge System, SPF 30 PA+++",1,0,1,0,1,1,0,1,1,YES,NO,C:\project\static\Images\Moisturizer\Wardah Renew You Day Cream.png
43,Renew You Retinol Microcaps Matrixyl™ 3000 Lift & Rejuvenate Night Moisturizer,Wardah,Kulit Normal,"Penuaan, Kerutan, Kekencangan berkurang","Retinol Microcapsule, Matrixyl™ 3000",1,0,1,0,1,0,1,1,1,NO,YES,C:\project\static\Images\Moisturizer\Wardah Renew You Retinol Microcaps Matrixyl™️ 3000 Lift & Rejuvenate Night Moisturizer.png
44,Renew You Retinol Microcaps Matrixyl™ 3000 Lift & Rejuvenate Night Moisturizer,Wardah,Kulit Kering,"Penuaan, Kerutan, Kekencangan berkurang","Retinol Microcapsule, Matrixyl™ 3000",1,0,1,0,1,0,1,1,1,NO,YES,C:\project\static\Images\Moisturizer\Wardah Renew You Retinol Microcaps Matrixyl™️ 3000 Lift & Rejuvenate Night Moisturizer.png
45,Renew You Retinol Microcaps Matrixyl™ 3000 Lift & Rejuvenate Night Moisturizer,Wardah,Kulit Berminyak,"Penuaan, Kerutan, Kekencangan berkurang","Retinol Microcapsule, Matrixyl™ 3000",1,0,1,0,1,0,1,1,1,NO,NO,C:\project\static\Images\Moisturizer\Wardah Renew You Retinol Microcaps Matrixyl™️ 3000 Lift & Rejuvenate Night Moisturizer.png
46,Renew You Retinol Microcaps Matrixyl™ 3000 Lift & Rejuvenate Night Moisturizer,Wardah,Kulit Kombinasi,"Penuaan, Kerutan, Kekencangan berkurang","Retinol Microcapsule, Matrixyl™ 3000",1,0,1,0,1,0,1,1,1,NO,YES,C:\project\static\Images\Moisturizer\Wardah Renew You Retinol Microcaps Matrixyl™️ 3000 Lift & Rejuvenate Night Moisturizer.png
47,Renew You Retinol Microcaps Matrixyl™ 3000 Lift & Rejuvenate Night Moisturizer,Wardah,Kulit Sensitif,"Penuaan, Kerutan, Kekencangan berkurang","Retinol Microcapsule, Matrixyl™ 3000",1,0,1,0,1,0,1,1,1,NO,NO,C:\project\static\Images\Moisturizer\Wardah Renew You Retinol Microcaps Matrixyl™️ 3000 Lift & Rejuvenate Night Moisturizer.png
48,Renew You Retinol Microcaps Matrixyl™ 3000 Lift & Rejuvenate Night Moisturizer,Wardah,Kulit Berjerawat,"Penuaan, Kerutan, Kekencangan berkurang","Retinol Microcapsule, Matrixyl™ 3000",1,0,1,0,1,0,1,1,1,NO,YES,C:\project\static\Images\Moisturizer\Wardah Renew You Retinol Microcaps Matrixyl™️ 3000 Lift & Rejuvenate Night Moisturizer.png
49,Crystal Secret Bright-Peptide™ 5% Niacinamide Hyperpigmentation Expert Night Moisturizer,Wardah,Kulit Normal,"Kusam, Hiperpigmentasi, Bekas jerawat","5% Niacinamide, Alpha Arbutin, Brightening Peptide, Ekstrak Edelweiss",1,0,1,1,1,1,0,1,0,NO,YES,C:\project\static\Images\Moisturizer\Wardah Crystal Secret Bright-Peptide™ 5% Niacinamide Hyperpigmentation Expert Night Moisturizer.png
50,Crystal Secret Bright-Peptide™ 5% Niacinamide Hyperpigmentation Expert Night Moisturizer,Wardah,Kulit Kering,"Kusam, Hiperpigmentasi, Bekas jerawat","5% Niacinamide, Alpha Arbutin, Brightening Peptide, Ekstrak Edelweiss",1,0,1,1,1,1,0,1,0,NO,YES,C:\project\static\Images\Moisturizer\Wardah Crystal Secret Bright-Peptide™ 5% Niacinamide Hyperpigmentation Expert Night Moisturizer.png
